Serial,Company ,Date,Change,NetProfit,NetCapital
1,Company.1,31-Aug-00,NA,NA,NA
2,Company.1,28-Feb-01,1.076923077,76.92307692,1076.923077
3,Company.1,31-Aug-01,1.057142857,57.14285714,1057.142857
4,Company.1,28-Feb-02,1.013513514,13.51351351,1013.513514
5,Company.1,31-Aug-02,0.973333333,-26.66666667,973.3333333
6,Company.1,28-Feb-03,0.438356164,-561.6438356,438.3561644
7,Company.1,31-Aug-03,2.34375,1343.75,2343.75
8,Company.1,29-Feb-04,1.093333333,93.33333333,1093.333333
9,Company.1,31-Aug-04,1.085365854,85.36585366,1085.365854
10,Company.1,28-Feb-05,1.011235955,11.23595506,1011.235955
11,Company.1,31-Aug-05,0.755555556,-244.4444444,755.5555556
12,Company.1,28-Feb-06,0.808823529,-191.1764706,808.8235294
13,Company.1,31-Aug-06,0.945454545,-54.54545455,945.4545455
14,Company.1,28-Feb-07,0.596153846,-403.8461538,596.1538462
15,Company.1,31-Aug-07,3.064516129,2064.516129,3064.516129
15,Company.1,29-Feb-08,1.021052632,21.05263158,1021.052632
17,Company.1,31-Aug-08,0.546391753,-453.6082474,546.3917526
18,Company.1,28-Feb-09,0.735849057,-264.1509434,735.8490566
19,Company.1,31-Aug-09,2.179487179,1179.487179,2179.487179
20,Company.1,28-Feb-10,0.917647059,-82.35294118,917.6470588
21,Company.1,31-Aug-10,0.666666667,-333.3333333,666.6666667
22,Company.1,28-Feb-11,1.423076923,423.0769231,1423.076923
23,Company.1,31-Aug-11,0.662162162,-337.8378378,662.1621622
24,Company.1,29-Feb-12,0.530612245,-469.3877551,530.6122449
25,Company.1,31-Aug-12,2.5,1500,2500
26,Company.1,28-Feb-13,1.215384615,215.3846154,1215.384615
27,Company.1,31-Aug-13,1.113924051,113.9240506,1113.924051
28,Company.1,28-Feb-14,1.125,125,1125
29,Company.1,31-Aug-14,0.97979798,-20.2020202,979.7979798
30,Company.1,28-Feb-15,1.051546392,51.54639175,1051.546392
31,Company.1,31-Aug-15,0.735294118,-264.7058824,735.2941176
32,Company.1,29-Feb-16,1.24,240,1240
33,Company.1,31-Aug-16,1.258064516,258.0645161,1258.064516
34,Company.1,28-Feb-17,1.35042735,350.4273504,1350.42735
35,Company.1,31-Aug-17,0.879746835,-120.2531646,879.7468354
36,Company.1,28-Feb-18,1.086330935,86.33093525,1086.330935
37,Company.1,31-Aug-18,1.033112583,33.11258278,1033.112583
38,Company.1,28-Feb-19,0.929487179,-70.51282051,929.4871795
39,Company.1,31-Aug-19,0.6,-400,600
40,Company.1,29-Feb-20,1.356321839,356.3218391,1356.321839
41,Company.1,31-Aug-20,1.101694915,101.6949153,1101.694915
42,Company.1,28-Feb-21,0.769230769,-230.7692308,769.2307692
43,Company.1,31-Aug-21,0.79,-210,790
,,,,,
1,Company.2,31-Aug-00,NA,NA,NA
2,Company.2,28-Feb-01,1.076923077,76.92307692,1076.923077
3,Company.2,31-Aug-01,1.057142857,57.14285714,1057.142857
4,Company.2,28-Feb-02,1.013513514,13.51351351,1013.513514
5,Company.2,31-Aug-02,0.973333333,-26.66666667,973.3333333
6,Company.2,28-Feb-03,1,0,1000
7,Company.2,31-Aug-03,1.082191781,82.19178082,1082.191781
8,Company.2,29-Feb-04,1.063291139,63.29113924,1063.291139
9,Company.2,31-Aug-04,1.071428571,71.42857143,1071.428571
10,Company.2,28-Feb-05,1.055555556,55.55555556,1055.555556
11,Company.2,31-Aug-05,0.4,-600,400
12,Company.2,28-Feb-06,1.973684211,973.6842105,1973.684211
13,Company.2,31-Aug-06,1.36,360,1360
14,Company.2,28-Feb-07,1.068627451,68.62745098,1068.627451
15,Company.2,31-Aug-07,0.623853211,-376.146789,623.853211
15,Company.2,29-Feb-08,1.470588235,470.5882353,1470.588235
17,Company.2,31-Aug-08,1.08,80,1080
18,Company.2,28-Feb-09,0.944444444,-55.55555556,944.4444444
19,Company.2,31-Aug-09,0.87254902,-127.4509804,872.5490196
20,Company.2,28-Feb-10,0.662921348,-337.0786517,662.9213483
21,Company.2,31-Aug-10,1.288135593,288.1355932,1288.135593
22,Company.2,28-Feb-11,0.921052632,-78.94736842,921.0526316
23,Company.2,31-Aug-11,1.457142857,457.1428571,1457.142857
24,Company.2,29-Feb-12,1.215686275,215.6862745,1215.686275
25,Company.2,31-Aug-12,0.975806452,-24.19354839,975.8064516
26,Company.2,28-Feb-13,0.94214876,-57.85123967,942.1487603
27,Company.2,31-Aug-13,1.035087719,35.0877193,1035.087719
28,Company.2,28-Feb-14,0.906779661,-93.22033898,906.779661
29,Company.2,31-Aug-14,1.289719626,289.7196262,1289.719626
30,Company.2,28-Feb-15,0.971014493,-28.98550725,971.0144928
31,Company.2,31-Aug-15,0.067164179,-932.8358209,67.1641791
32,Company.2,29-Feb-16,5.111111111,4111.111111,5111.111111
33,Company.2,31-Aug-16,1.5,500,1500
34,Company.2,28-Feb-17,1.985507246,985.5072464,1985.507246
35,Company.2,31-Aug-17,1.197080292,197.080292,1197.080292
36,Company.2,28-Feb-18,1.024390244,24.3902439,1024.390244
37,Company.2,31-Aug-18,0.785714286,-214.2857143,785.7142857
38,Company.2,28-Feb-19,1.143939394,143.9393939,1143.939394
39,Company.2,31-Aug-19,1.033112583,33.11258278,1033.112583
40,Company.2,29-Feb-20,0.801282051,-198.7179487,801.2820513
41,Company.2,31-Aug-20,1.136,136,1136
42,Company.2,28-Feb-21,0.985915493,-14.08450704,985.915493
43,Company.2,31-Aug-21,0.8,-200,800
,,,,,
1,Company.3,31-Aug-00,NA,NA,NA
2,Company.3,28-Feb-01,1.035714286,35.71428571,1035.714286
3,Company.3,31-Aug-01,0.965517241,-34.48275862,965.5172414
4,Company.3,28-Feb-02,1.035714286,35.71428571,1035.714286
5,Company.3,31-Aug-02,0.862068966,-137.9310345,862.0689655
6,Company.3,28-Feb-03,0.4,-600,400
7,Company.3,31-Aug-03,2.75,1750,2750
8,Company.3,29-Feb-04,0.872727273,-127.2727273,872.7272727
9,Company.3,31-Aug-04,1.333333333,333.3333333,1333.333333
10,Company.3,28-Feb-05,1.015625,15.625,1015.625
11,Company.3,31-Aug-05,1,0,1000
12,Company.3,28-Feb-06,0.938461538,-61.53846154,938.4615385
13,Company.3,31-Aug-06,1.131147541,131.147541,1131.147541
14,Company.3,28-Feb-07,0.956521739,-43.47826087,956.5217391
15,Company.3,31-Aug-07,0.924242424,-75.75757576,924.2424242
15,Company.3,29-Feb-08,0.901639344,-98.36065574,901.6393443
17,Company.3,31-Aug-08,0.909090909,-90.90909091,909.0909091
18,Company.3,28-Feb-09,1.38,380,1380
19,Company.3,31-Aug-09,0.811594203,-188.4057971,811.5942029
20,Company.3,28-Feb-10,1.428571429,428.5714286,1428.571429
21,Company.3,31-Aug-10,0.725,-275,725
22,Company.3,28-Feb-11,1.482758621,482.7586207,1482.758621
23,Company.3,31-Aug-11,0.953488372,-46.51162791,953.4883721
24,Company.3,29-Feb-12,1.024390244,24.3902439,1024.390244
25,Company.3,31-Aug-12,1.083333333,83.33333333,1083.333333
26,Company.3,28-Feb-13,0.923076923,-76.92307692,923.0769231
27,Company.3,31-Aug-13,1.166666667,166.6666667,1166.666667
28,Company.3,28-Feb-14,0.928571429,-71.42857143,928.5714286
29,Company.3,31-Aug-14,1.175824176,175.8241758,1175.824176
30,Company.3,28-Feb-15,1.009345794,9.345794393,1009.345794
31,Company.3,31-Aug-15,1.037037037,37.03703704,1037.037037
32,Company.3,29-Feb-16,0.866071429,-133.9285714,866.0714286
33,Company.3,31-Aug-16,1.072164948,72.16494845,1072.164948
34,Company.3,28-Feb-17,0.990384615,-9.615384615,990.3846154
35,Company.3,31-Aug-17,0.883495146,-116.5048544,883.4951456
36,Company.3,28-Feb-18,0.923076923,-76.92307692,923.0769231
37,Company.3,31-Aug-18,1.119047619,119.047619,1119.047619
38,Company.3,28-Feb-19,1.234042553,234.0425532,1234.042553
39,Company.3,31-Aug-19,1.163793103,163.7931034,1163.793103
40,Company.3,29-Feb-20,0.792592593,-207.4074074,792.5925926
41,Company.3,31-Aug-20,1.336448598,336.4485981,1336.448598
42,Company.3,28-Feb-21,0.832167832,-167.8321678,832.1678322
43,Company.3,31-Aug-21,1.109243697,109.2436975,1109.243697
,,,,,
1,Company.4,31-Aug-00,NA,NA,NA
2,Company.4,28-Feb-01,1.076923077,76.92307692,1076.923077
3,Company.4,31-Aug-01,1.057142857,57.14285714,1057.142857
4,Company.4,28-Feb-02,1.013513514,13.51351351,1013.513514
5,Company.4,31-Aug-02,0.973333333,-26.66666667,973.3333333
6,Company.4,28-Feb-03,1,0,1000
7,Company.4,31-Aug-03,1.082191781,82.19178082,1082.191781
8,Company.4,29-Feb-04,1.063291139,63.29113924,1063.291139
9,Company.4,31-Aug-04,1.071428571,71.42857143,1071.428571
10,Company.4,28-Feb-05,1.055555556,55.55555556,1055.555556
11,Company.4,31-Aug-05,1.073684211,73.68421053,1073.684211
12,Company.4,28-Feb-06,0.990196078,-9.803921569,990.1960784
13,Company.4,31-Aug-06,1.00990099,9.900990099,1009.90099
14,Company.4,28-Feb-07,1.068627451,68.62745098,1068.627451
15,Company.4,31-Aug-07,1.04587156,45.87155963,1045.87156
15,Company.4,29-Feb-08,0.98245614,-17.54385965,982.4561404
17,Company.4,31-Aug-08,1.017857143,17.85714286,1017.857143
18,Company.4,28-Feb-09,0.964912281,-35.0877193,964.9122807
19,Company.4,31-Aug-09,0.990909091,-9.090909091,990.9090909
20,Company.4,28-Feb-10,1.082568807,82.56880734,1082.568807
21,Company.4,31-Aug-10,1.042372881,42.37288136,1042.372881
22,Company.4,28-Feb-11,1.048780488,48.7804878,1048.780488
23,Company.4,31-Aug-11,1.03875969,38.75968992,1038.75969
24,Company.4,29-Feb-12,1,0,1000
25,Company.4,31-Aug-12,1.007462687,7.462686567,1007.462687
26,Company.4,28-Feb-13,1,0,1000
27,Company.4,31-Aug-13,1.044444444,44.44444444,1044.444444
28,Company.4,28-Feb-14,1.042553191,42.55319149,1042.553191
29,Company.4,31-Aug-14,1.054421769,54.42176871,1054.421769
30,Company.4,28-Feb-15,1.064516129,64.51612903,1064.516129
31,Company.4,31-Aug-15,1.012121212,12.12121212,1012.121212
32,Company.4,29-Feb-16,1.023952096,23.95209581,1023.952096
