Serial,Company ,Date, Change,NetProfit,NetCapital
1,Company.1,6/30/2000,NA,NA,NA
2,Company.1,12/31/2000,0.949367089,-50.63291139,949.3670886
3,Company.1,6/30/2001,1.16,160,1160
4,Company.1,12/31/2001,1.034482759,34.48275862,1034.482759
5,Company.1,6/30/2002,1.055555556,55.55555556,1055.555556
6,Company.1,12/31/2002,1,0,1000
7,Company.1,6/30/2003,0.094736842,-905.2631579,94.73684211
8,Company.1,12/31/2003,1.333333333,333.3333333,1333.333333
9,Company.1,6/30/2004,1.75,750,1750
10,Company.1,12/31/2004,1.571428571,571.4285714,1571.428571
11,Company.1,6/30/2005,2.212121212,1212.121212,2212.121212
12,Company.1,12/31/2005,1.520547945,520.5479452,1520.547945
13,Company.1,6/30/2006,0.423423423,-576.5765766,423.4234234
14,Company.1,12/31/2006,2.595744681,1595.744681,2595.744681
15,Company.1,6/30/2007,0.540983607,-459.0163934,540.9836066
15,Company.1,12/31/2007,0.863636364,-136.3636364,863.6363636
17,Company.1,6/30/2008,1.228070175,228.0701754,1228.070175
18,Company.1,12/31/2008,1.2,200,1200
19,Company.1,6/30/2009,0.857142857,-142.8571429,857.1428571
20,Company.1,12/31/2009,1.027777778,27.77777778,1027.777778
21,Company.1,6/30/2010,1.256756757,256.7567568,1256.756757
22,Company.1,12/31/2010,0.989247312,-10.75268817,989.2473118
23,Company.1,6/30/2011,0.97826087,-21.73913043,978.2608696
24,Company.1,12/31/2011,0.933333333,-66.66666667,933.3333333
25,Company.1,6/30/2012,1.202380952,202.3809524,1202.380952
26,Company.1,12/31/2012,1.089108911,89.10891089,1089.108911
27,Company.1,6/30/2013,0.990909091,-9.090909091,990.9090909
28,Company.1,12/31/2013,0.880733945,-119.266055,880.733945
29,Company.1,6/30/2014,1.135416667,135.4166667,1135.416667
30,Company.1,12/31/2014,1.009174312,9.174311927,1009.174312
31,Company.1,6/30/2015,1.018181818,18.18181818,1018.181818
32,Company.1,12/31/2015,0.928571429,-71.42857143,928.5714286
33,Company.1,6/30/2016,0.990384615,-9.615384615,990.3846154
34,Company.1,12/31/2016,1.019417476,19.41747573,1019.417476
35,Company.1,6/30/2017,0.933333333,-66.66666667,933.3333333
36,Company.1,12/31/2017,1,0,1000
37,Company.1,6/30/2018,1,0,1000
38,Company.1,12/31/2018,1.051020408,51.02040816,1051.020408
39,Company.1,6/30/2019,1.223300971,223.3009709,1223.300971
40,Company.1,12/31/2019,0.896825397,-103.1746032,896.8253968
41,Company.1,6/30/2020,0.902654867,-97.34513274,902.6548673
42,Company.1,12/31/2020,1.147058824,147.0588235,1147.058824
43,Company.1,6/30/2021,1.102564103,102.5641026,1102.564103
,,,,,
1,Company.2,6/30/2000,NA,NA,NA
2,Company.2,12/31/2000,0.949367089,-50.63291139,949.3670886
3,Company.2,6/30/2001,1.16,160,1160
4,Company.2,12/31/2001,1.034482759,34.48275862,1034.482759
5,Company.2,6/30/2002,1.055555556,55.55555556,1055.555556
6,Company.2,12/31/2002,1,0,1000
7,Company.2,6/30/2003,1.115789474,115.7894737,1115.789474
8,Company.2,12/31/2003,0.952830189,-47.16981132,952.8301887
9,Company.2,6/30/2004,1.059405941,59.40594059,1059.405941
10,Company.2,12/31/2004,0.971962617,-28.03738318,971.9626168
11,Company.2,6/30/2005,0.836538462,-163.4615385,836.5384615
12,Company.2,12/31/2005,1.149425287,149.4252874,1149.425287
13,Company.2,6/30/2006,1.15,150,1150
14,Company.2,12/31/2006,1.052173913,52.17391304,1052.173913
15,Company.2,6/30/2007,1.082644628,82.6446281,1082.644628
15,Company.2,12/31/2007,0.358778626,-641.221374,358.778626
17,Company.2,6/30/2008,0.595744681,-404.2553191,595.7446809
18,Company.2,12/31/2008,0.928571429,-71.42857143,928.5714286
19,Company.2,6/30/2009,0.923076923,-76.92307692,923.0769231
20,Company.2,12/31/2009,1.041666667,41.66666667,1041.666667
21,Company.2,6/30/2010,0.88,-120,880
22,Company.2,12/31/2010,0.727272727,-272.7272727,727.2727273
23,Company.2,6/30/2011,0.9375,-62.5,937.5
24,Company.2,12/31/2011,1,0,1000
25,Company.2,6/30/2012,1.2,200,1200
26,Company.2,12/31/2012,0.777777778,-222.2222222,777.7777778
27,Company.2,6/30/2013,0.928571429,-71.42857143,928.5714286
28,Company.2,12/31/2013,1,0,1000
29,Company.2,6/30/2014,1.076923077,76.92307692,1076.923077
30,Company.2,12/31/2014,1.214285714,214.2857143,1214.285714
31,Company.2,6/30/2015,5,4000,5000
32,Company.2,12/31/2015,0.470588235,-529.4117647,470.5882353
33,Company.2,6/30/2016,1.65,650,1650
34,Company.2,12/31/2016,1.090909091,90.90909091,1090.909091
35,Company.2,6/30/2017,1.069444444,69.44444444,1069.444444
36,Company.2,12/31/2017,1.077922078,77.92207792,1077.922078
37,Company.2,6/30/2018,0.951807229,-48.19277108,951.8072289
38,Company.2,12/31/2018,0.772151899,-227.8481013,772.1518987
39,Company.2,6/30/2019,0.836065574,-163.9344262,836.0655738
40,Company.2,12/31/2019,1.137254902,137.254902,1137.254902
41,Company.2,6/30/2020,0.775862069,-224.137931,775.862069
42,Company.2,12/31/2020,0.888888889,-111.1111111,888.8888889
43,Company.2,6/30/2021,1.65,650,1650
,,,,,
1,Company.3,6/30/2000,NA,NA,NA
2,Company.3,12/31/2000,1.293103448,293.1034483,1293.103448
3,Company.3,6/30/2001,1.16,160,1160
4,Company.3,12/31/2001,0.770114943,-229.8850575,770.1149425
5,Company.3,6/30/2002,1.119402985,119.4029851,1119.402985
6,Company.3,12/31/2002,0.826666667,-173.3333333,826.6666667
7,Company.3,6/30/2003,1.016129032,16.12903226,1016.129032
8,Company.3,12/31/2003,1,0,1000
9,Company.3,6/30/2004,1.126984127,126.984127,1126.984127
10,Company.3,12/31/2004,0.901408451,-98.5915493,901.4084507
11,Company.3,6/30/2005,1.015625,15.625,1015.625
12,Company.3,12/31/2005,0.969230769,-30.76923077,969.2307692
13,Company.3,6/30/2006,1,0,1000
14,Company.3,12/31/2006,0.857142857,-142.8571429,857.1428571
15,Company.3,6/30/2007,1.148148148,148.1481481,1148.148148
15,Company.3,12/31/2007,0.935483871,-64.51612903,935.483871
17,Company.3,6/30/2008,1.017241379,17.24137931,1017.241379
18,Company.3,12/31/2008,0.86440678,-135.5932203,864.4067797
19,Company.3,6/30/2009,1,0,1000
20,Company.3,12/31/2009,1.137254902,137.254902,1137.254902
21,Company.3,6/30/2010,0.827586207,-172.4137931,827.5862069
22,Company.3,12/31/2010,1,0,1000
23,Company.3,6/30/2011,1.104166667,104.1666667,1104.166667
24,Company.3,12/31/2011,0.905660377,-94.33962264,905.6603774
25,Company.3,6/30/2012,1.0625,62.5,1062.5
26,Company.3,12/31/2012,0.960784314,-39.21568627,960.7843137
27,Company.3,6/30/2013,1.06122449,61.2244898,1061.22449
28,Company.3,12/31/2013,0.942307692,-57.69230769,942.3076923
29,Company.3,6/30/2014,1.142857143,142.8571429,1142.857143
30,Company.3,12/31/2014,0.964285714,-35.71428571,964.2857143
31,Company.3,6/30/2015,0.944444444,-55.55555556,944.4444444
32,Company.3,12/31/2015,1.058823529,58.82352941,1058.823529
33,Company.3,6/30/2016,1.018518519,18.51851852,1018.518519
34,Company.3,12/31/2016,1.090909091,90.90909091,1090.909091
35,Company.3,6/30/2017,1.05,50,1050
36,Company.3,12/31/2017,1.111111111,111.1111111,1111.111111
37,Company.3,6/30/2018,1.057142857,57.14285714,1057.142857
38,Company.3,12/31/2018,1.040540541,40.54054054,1040.540541
39,Company.3,6/30/2019,1.311688312,311.6883117,1311.688312
40,Company.3,12/31/2019,1.207920792,207.9207921,1207.920792
41,Company.3,6/30/2020,0.803278689,-196.7213115,803.2786885
42,Company.3,12/31/2020,0.918367347,-81.63265306,918.3673469
43,Company.3,6/30/2021,1.1,100,1100
,,,,,
1,Company.4,6/30/2000,NA,NA,NA
2,Company.4,12/31/2000,0.949367089,-50.63291139,949.3670886
3,Company.4,6/30/2001,1.16,160,1160
4,Company.4,12/31/2001,1.034482759,34.48275862,1034.482759
5,Company.4,6/30/2002,1.055555556,55.55555556,1055.555556
6,Company.4,12/31/2002,1,0,1000
